Day,Initial Spot Price,Index,Strike Price (Call),Strike Price (Put),Call Premium (Cost),Put Premium (Cost),Covered Call Profit,Protective Put Profit,Short Put Entry Profit,Covered Call Tooltip,Protective Put Tooltip,Short Put Entry Tooltip
1,4500,4530.411045461868,4550,4450,171.8801612260081,139.2522907716816,202.29120668787573,-108.84124530981398,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
2,4500,4524.78442690424,4550,4450,171.8801612260081,139.2522907716816,196.66458813024792,-114.46786386744179,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
3,4500,4563.969551278577,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,-75.28273949310505,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
4,4500,4653.826684195375,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,14.574393423692982,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
5,4500,4642.424551791251,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,3.17226101956976,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
6,4500,4631.051315501291,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,-8.200975270390245,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
7,4500,4725.507216763344,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,86.25492599166273,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
8,4500,4773.559806951614,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,134.307516179932,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
9,4500,4747.711833652597,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,108.4595428809157,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
10,4500,4782.539215197822,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,143.28692442614056,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
11,4500,4757.007561996773,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,117.75527122509129,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
12,4500,4731.473641931592,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,92.22135115991068,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
13,4500,4748.262983186692,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,109.01069241501,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
14,4500,4636.179925345104,4550,4450,171.8801612260081,139.2522907716816,221.8801612260081,-3.072365426578017,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
15,4500,4537.744914861752,4550,4450,171.8801612260081,139.2522907716816,209.62507608775968,-101.50737590993003,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
16,4500,4507.867689966383,4550,4450,171.8801612260081,139.2522907716816,179.7478511923914,-131.3846008052983,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
17,4500,4452.5991012717495,4550,4450,171.8801612260081,139.2522907716816,124.47926249775765,-141.85139204343113,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
18,4500,4472.453882945645,4550,4450,171.8801612260081,139.2522907716816,144.3340441716532,-161.7061737173267,139.2522907716816,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
19,4500,4423.525112060988,4550,4450,171.8801612260081,139.2522907716816,95.40527328699636,-112.77740283266985,112.77740283266985,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
20,4500,4347.027525750319,4550,4450,171.8801612260081,139.2522907716816,18.907686976327113,-36.2798165220006,36.2798165220006,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
21,4500,4429.470810333295,4550,4450,171.8801612260081,139.2522907716816,101.35097155930316,-118.72310110497665,118.72310110497665,"Profit = min(Index - Initial, Strike Call - Initial) + Call Premium","Profit = max(Index - Initial, Strike Put - Index) - Put Premium","Profit = Put Premium if Index >= Strike Put, else Put Premium - (Strike Put - Index)"
